name,lon1,lat1,lon2,lat2,dip,res,other3,other6,rake,rakeSig,rakeTog,other7,other8,other9,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,resolution_override,resolution_other,mesh_file_index,mesh_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max
Cedar Mountain - Mahogany Mountain                                 ,237.9349,42.1142,237.986,42.0297,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cedar Mountain - Mahogany Mountain                                 ,237.986,42.0297,238.037,41.9453,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cedar Mountain - Mahogany Mountain                                 ,238.037,41.9453,238.0553,41.8199,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cedar Mountain - Mahogany Mountain                                 ,238.0553,41.8199,238.0698,41.7218,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cedar Mountain - Mahogany Mountain                                 ,238.0698,41.7218,238.0842,41.6237,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cedar Mountain - Mahogany Mountain                                 ,238.0842,41.6237,238.0986,41.5257,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Chemult Graben (east)                                              ,238.4209,43.4265,238.3469,43.388,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Chemult Graben (east)                                              ,238.3469,43.388,238.2727,43.3281,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cottonwood Mountain (east)                                         ,242.6664,43.9262,242.6404,43.9644,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cottonwood Mountain (east)                                         ,242.6404,43.9644,242.5926,44.019,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cottonwood Mountain (east)                                         ,242.5926,44.019,242.5662,44.0654,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cottonwood Mountain (east)                                         ,242.5662,44.0654,242.5239,44.0978,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cottonwood Mountain (east)                                         ,242.5239,44.0978,242.4938,44.1374,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cottonwood Mountain (east)                                         ,242.4938,44.1374,242.4702,44.1575,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cottonwood Mountain (east)                                         ,242.4702,44.1575,242.4558,44.1923,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Cottonwood Mountain (east)                                         ,242.4558,44.1923,242.4152,44.2578,130,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Davis Creek                                                        ,239.6347,41.788,239.6673,41.7055,50,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Davis Creek                                                        ,239.6673,41.7055,239.6997,41.623,50,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,238.326,48.2499,238.2483,48.2688,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,238.2483,48.2688,238.0913,48.2875,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,238.0913,48.2875,237.9988,48.3169,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,237.9988,48.3169,237.919,48.3299,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,237.919,48.3299,237.8715,48.3355,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,237.8715,48.3355,237.8534,48.3414,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,237.8534,48.3414,237.8294,48.3422,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,237.8294,48.3422,237.7922,48.3467,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,237.7922,48.3467,237.743,48.3493,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,237.743,48.3493,237.693,48.3563,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,237.693,48.3563,237.6643,48.3577,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Devils Mountain                                                    ,237.6643,48.3577,237.5003,48.3587,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.2932,47.9377,239.335,47.88,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.335,47.88,239.3795,47.8205,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.3795,47.8205,239.4093,47.7867,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.4093,47.7867,239.4528,47.7372,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.4528,47.7372,239.4947,47.6831,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.4947,47.6831,239.5316,47.6476,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.5316,47.6476,239.546,47.6305,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.546,47.6305,239.588,47.5817,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.588,47.5817,239.6017,47.5496,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.6017,47.5496,239.6161,47.5207,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Entiat                                                             ,239.6161,47.5207,239.6687,47.4756,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.8225,45.4527,236.8266,45.4327,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.8266,45.4327,236.8338,45.4206,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.8338,45.4206,236.8385,45.4156,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.8385,45.4156,236.851,45.3965,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.851,45.3965,236.8913,45.3744,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.8913,45.3744,236.8991,45.351,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.8991,45.351,236.9115,45.3335,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.9115,45.3335,236.9276,45.3222,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.9276,45.3222,236.9768,45.3055,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Chehalem Valley)                                      ,236.9768,45.3055,237.0172,45.2871,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Parsons Creek)                                        ,236.5502,45.8621,236.6931,45.6634,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Parsons Creek)                                        ,236.6931,45.6634,236.7038,45.6473,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Parsons Creek)                                        ,236.7038,45.6473,236.7269,45.6078,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Parsons Creek)                                        ,236.7269,45.6078,236.7352,45.5933,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Parsons Creek)                                        ,236.7352,45.5933,236.7453,45.5738,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Parsons Creek)                                        ,236.7453,45.5738,236.7685,45.5376,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Parsons Creek)                                        ,236.7685,45.5376,236.7863,45.5185,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Gales Creek (Parsons Creek)                                        ,236.7863,45.5185,236.7875,45.5101,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Goose Lake                                                         ,239.6338,42.2382,239.6537,42.1549,58,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Goose Lake                                                         ,239.6537,42.1549,239.694,42.0726,58,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Goose Lake                                                         ,239.694,42.0726,239.7095,41.9851,58,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Goose Lake                                                         ,239.7095,41.9851,239.6843,41.9247,122,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Hat Creek                                                          ,238.5444,40.9349,238.5621,40.883,60,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
Hat Creek                                                          ,238.5621,40.883,238.5583,40.8534,120,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1
